Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Color,Owner_Type,State,Insurance_Status,Manufacturing_Plant,Number_of_Repairs,Previous_Accidents,Body_Type
30,Renault,Kiger,2022,Electric,Automatic,1200000,22.5,1200,4,15100,Grey,Fourth & Above,West Bengal,Insured,Manesar,6,2,Hatchback
31,Tata Motors,Harrier,2023,Diesel,Manual,1530000,13.9,2500,6,13200,Blue,First,Maharashtra,Insured,Surat,4,0,Hatchback
32,Kia,Carnival,2022,Diesel,Automatic,950000,10.1,1500,5,14800,White,First,Tamil Nadu,Insured,Surat,5,1,SUV
33,Toyota,Innova,2018,CNG,Manual,1010000,25,800,6,12400,White,Fourth & Above,Tamil Nadu,Not Insured,Chennai,8,5,Sedan
34,Honda,Amaze,2021,CNG,Automatic,2370000,29.4,2500,6,17000,Red,Fourth & Above,Telangana,Insured,Pune,3,5,SUV
35,Volkswagen,Polo,2016,CNG,Automatic,2590000,28.8,1500,7,12400,Red,Third,Telangana,Not Insured,Manesar,7,3,Convertible
36,Maruti Suzuki,Swift,2019,Diesel,Manual,1920000,11.9,1500,7,16600,Green,Fourth & Above,Delhi,Not Insured,Pune,4,5,Hatchback
37,Kia,EV6,2020,CNG,Automatic,1990000,16,1000,7,5100,Black,Second,West Bengal,Not Insured,Surat,4,2,Coupe
38,Hyundai,Verna,2019,Diesel,Automatic,1730000,23,1800,7,19300,Blue,Second,Delhi,Not Insured,Gurgaon,9,4,Hatchback
39,Skoda,Slavia,2017,Diesel,Automatic,3290000,10.7,1800,6,6800,Blue,Fourth & Above,Maharashtra,Insured,Surat,5,5,Convertible
40,Toyota,Glanza,2015,Diesel,Automatic,520000,14.5,1800,6,8300,Green,First,Delhi,Insured,Manesar,9,5,Coupe
41,Tata Motors,Harrier,2021,Diesel,Manual,1260000,25.9,1500,4,24400,Silver,Third,Gujarat,Not Insured,Pune,7,0,Sedan
42,Tata Motors,Harrier,2024,Diesel,Automatic,500000,16.8,2000,4,14000,Silver,First,Tamil Nadu,Not Insured,Chennai,5,4,Hatchback
43,Tata Motors,Nexon,2022,CNG,Manual,1860000,19.9,1200,5,14300,Green,Fourth & Above,Delhi,Insured,Chennai,2,1,Hatchback
44,Tata Motors,Punch,2021,CNG,Automatic,410000,12.9,1500,7,19400,Silver,Second,Delhi,Insured,Surat,1,3,Sedan
45,Mahindra,Scorpio,2022,CNG,Automatic,1290000,25.9,1800,6,16600,Red,Third,Karnataka,Not Insured,Gurgaon,3,4,SUV
46,Maruti Suzuki,Dzire,2018,CNG,Manual,2340000,27.6,1500,7,12200,Blue,First,Delhi,Not Insured,Sanand,5,5,Coupe
47,Honda,Civic,2024,Diesel,Manual,550000,23.3,2000,4,14700,Green,First,Gujarat,Not Insured,Manesar,10,0,Hatchback
48,Honda,Amaze,2022,Petrol,Automatic,960000,20.7,1000,7,21400,Blue,Fourth & Above,Tamil Nadu,Not Insured,Surat,3,0,Coupe
49,Volkswagen,Virtus,2021,Diesel,Manual,450000,14,1200,4,8300,White,Third,Karnataka,Not Insured,Chennai,1,4,Convertible
50,Volkswagen,Tiguan,2020,Petrol,Manual,3160000,18.7,1800,6,5500,Red,Second,Maharashtra,Insured,Chennai,7,0,Sedan
51,Skoda,Octavia,2015,CNG,Automatic,2900000,13.5,2500,4,23600,Grey,Fourth & Above,Telangana,Not Insured,Gurgaon,5,3,SUV
52,Kia,Seltos,2023,Electric,Manual,1410000,12.6,2000,5,6800,Red,Third,Maharashtra,Insured,Chennai,5,1,Convertible
53,Mahindra,Bolero,2019,Petrol,Automatic,2480000,22,1200,4,23400,Green,First,Tamil Nadu,Not Insured,Manesar,10,1,Coupe
54,Kia,Carnival,2020,Diesel,Manual,1320000,21,1000,6,9100,Grey,Fourth & Above,Telangana,Insured,Gurgaon,5,0,Sedan
55,Skoda,Kushaq,2023,Electric,Automatic,430000,22.9,1500,6,18600,White,First,Maharashtra,Not Insured,Pune,9,4,Sedan
56,Toyota,Innova,2023,Electric,Manual,3410000,24,1500,5,16500,Green,First,Gujarat,Insured,Gurgaon,10,5,Hatchback
57,Toyota,Innova,2018,Electric,Manual,890000,24.7,1200,7,8400,Black,Fourth & Above,Delhi,Insured,Manesar,2,5,Hatchback
58,Mahindra,Thar,2015,Electric,Automatic,1860000,25.1,2000,7,23800,Blue,Fourth & Above,Tamil Nadu,Not Insured,Manesar,8,3,Hatchback
59,Skoda,Slavia,2016,Diesel,Automatic,3070000,11.6,1800,5,23000,White,Fourth & Above,Telangana,Not Insured,Pune,9,0,Coupe
60,Toyota,Camry,2016,Diesel,Manual,690000,26.5,1200,4,21400,Blue,Fourth & Above,Karnataka,Insured,Surat,7,1,Hatchback
61,Hyundai,i10,2024,Petrol,Automatic,2830000,17.2,800,5,14500,Silver,Fourth & Above,Delhi,Insured,Gurgaon,4,0,SUV
62,Tata Motors,Nexon,2020,Diesel,Manual,3370000,11.1,800,7,11100,Black,First,Maharashtra,Insured,Manesar,8,4,Hatchback
63,Mahindra,Scorpio,2016,CNG,Automatic,490000,29.5,1500,4,5300,Black,Second,Maharashtra,Not Insured,Manesar,7,4,SUV
64,Kia,Carnival,2022,Electric,Manual,2970000,12.8,1000,6,13100,White,Second,Karnataka,Insured,Pune,4,2,Coupe
65,Tata Motors,Nexon,2018,Petrol,Manual,1780000,13,2500,7,17900,Black,Fourth & Above,Gujarat,Not Insured,Sanand,1,2,Hatchback
66,Kia,Sonet,2016,Diesel,Manual,2190000,25.2,1200,5,7100,Grey,First,Karnataka,Not Insured,Gurgaon,10,1,Sedan
67,Skoda,Superb,2020,Diesel,Manual,2300000,22.6,2500,4,11700,Black,Second,Tamil Nadu,Not Insured,Manesar,1,1,Hatchback
68,Kia,Sonet,2020,Diesel,Automatic,2650000,11.4,1200,6,24700,Blue,Second,Karnataka,Not Insured,Chennai,10,4,SUV
69,Hyundai,Venue,2021,Electric,Automatic,1680000,24.1,2500,6,24000,Blue,Second,Maharashtra,Not Insured,Pune,4,5,Sedan
70,Skoda,Rapid,2015,Electric,Automatic,1700000,15.8,800,4,23500,Green,First,Gujarat,Not Insured,Sanand,8,5,Coupe
71,Toyota,Glanza,2023,Diesel,Automatic,1630000,27.1,800,4,17700,Blue,Fourth & Above,Gujarat,Insured,Sanand,6,2,SUV
72,Hyundai,Creta,2020,Electric,Manual,1720000,23,2500,6,21900,Green,Fourth & Above,West Bengal,Insured,Pune,10,4,Hatchback
73,Honda,WR-V,2021,Electric,Automatic,940000,25.7,1500,4,9900,Blue,Fourth & Above,Karnataka,Not Insured,Sanand,2,3,Hatchback
74,Mahindra,Thar,2022,Diesel,Manual,3090000,26.2,1500,6,15800,Grey,Third,Tamil Nadu,Insured,Manesar,6,0,Convertible
75,Toyota,Glanza,2016,Diesel,Manual,3260000,10.2,1000,4,6300,Green,Third,Maharashtra,Insured,Sanand,7,1,Sedan
76,Mahindra,XUV300,2022,Petrol,Automatic,2150000,13,1800,6,5300,Red,Third,Delhi,Not Insured,Gurgaon,5,1,Hatchback
77,Tata Motors,Punch,2019,Petrol,Manual,1720000,17.3,2000,5,6900,Silver,First,Gujarat,Insured,Chennai,1,1,Hatchback
78,Hyundai,i20,2018,Diesel,Automatic,2070000,15.5,2500,5,19700,White,Second,Karnataka,Not Insured,Manesar,10,0,Sedan
79,Honda,Civic,2024,Diesel,Automatic,2040000,27.6,2500,5,14700,Blue,Second,West Bengal,Not Insured,Pune,1,2,Sedan
80,Tata Motors,Altroz,2018,CNG,Manual,1990000,19.9,800,6,21600,Black,First,Tamil Nadu,Not Insured,Chennai,9,4,SUV
81,Skoda,Octavia,2020,Diesel,Automatic,820000,28.7,2500,5,11700,Blue,First,Tamil Nadu,Not Insured,Surat,9,4,Sedan
82,Volkswagen,Taigun,2020,Diesel,Manual,1080000,14.3,1800,4,24200,Black,Fourth & Above,Telangana,Insured,Manesar,7,4,Hatchback
83,Maruti Suzuki,Swift,2017,Petrol,Automatic,1510000,12,1000,4,14200,Silver,Fourth & Above,Maharashtra,Insured,Chennai,6,5,Coupe
84,Toyota,Urban Cruiser,2022,Diesel,Automatic,850000,15.3,1800,5,10200,Silver,Third,Gujarat,Not Insured,Sanand,4,3,Hatchback
85,Skoda,Kushaq,2021,Electric,Automatic,1450000,27.6,1000,5,16700,Silver,Third,Maharashtra,Insured,Surat,5,2,SUV
86,Kia,Carnival,2022,Petrol,Automatic,1930000,19.7,2000,5,18300,Black,First,West Bengal,Not Insured,Pune,3,0,Sedan
87,Kia,EV6,2016,Diesel,Automatic,1310000,11.9,2000,6,22700,Blue,Third,Delhi,Not Insured,Pune,4,3,Convertible
88,Renault,Lodgy,2016,CNG,Manual,520000,26.4,1800,5,14600,Silver,Second,Delhi,Insured,Gurgaon,9,2,Hatchback
89,Toyota,Fortuner,2016,CNG,Manual,2560000,29.3,1000,4,22900,Grey,First,Delhi,Insured,Sanand,6,3,Hatchback
90,Hyundai,i20,2017,Petrol,Automatic,1790000,10.5,1800,7,8800,Green,First,Tamil Nadu,Not Insured,Gurgaon,5,4,Hatchback
91,Volkswagen,Vento,2018,Electric,Manual,1770000,13.6,1200,5,18000,Black,Second,Gujarat,Insured,Gurgaon,5,0,Hatchback
92,Hyundai,i20,2015,Diesel,Manual,2750000,22.6,1000,4,18900,Black,Fourth & Above,Maharashtra,Not Insured,Sanand,1,1,Convertible
93,Volkswagen,Taigun,2021,CNG,Manual,3240000,24.1,1000,4,10400,Blue,Fourth & Above,Maharashtra,Not Insured,Manesar,5,1,Convertible
94,Tata Motors,Nexon,2023,Electric,Automatic,1210000,20.8,2000,7,9000,Black,Second,West Bengal,Insured,Surat,10,1,SUV
95,Toyota,Innova,2018,Electric,Manual,2360000,20.2,800,5,13000,Black,Second,Delhi,Not Insured,Gurgaon,6,0,Sedan
96,Volkswagen,Polo,2018,CNG,Manual,3300000,10.6,1500,6,24200,Silver,Third,Gujarat,Insured,Chennai,4,4,Sedan
97,Honda,Civic,2017,CNG,Automatic,1610000,18.2,800,4,23600,Blue,First,Gujarat,Not Insured,Surat,1,4,Sedan
98,Maruti Suzuki,Baleno,2020,Diesel,Manual,1370000,26,1200,7,13400,Silver,Third,West Bengal,Not Insured,Manesar,9,4,Hatchback
99,Hyundai,Verna,2017,Diesel,Automatic,3320000,16.6,1000,6,10300,Green,Second,Karnataka,Not Insured,Sanand,6,0,Hatchback
100,Hyundai,Creta,2020,Electric,Automatic,2470000,14.2,1000,5,23100,Green,Third,Gujarat,Not Insured,Pune,7,3,Sedan
101,Toyota,Innova,2020,Diesel,,2010000,29.9,1800,5,9200,Silver,Second,Gujarat,Not Insured,Manesar,8,0,Hatchback
102,Maruti Suzuki,Ertiga,2015,Diesel,Automatic,3270000,22.9,1000,4,7600,Green,Third,Maharashtra,Insured,Gurgaon,9,4,Convertible
103,Skoda,Kushaq,2019,Petrol,Automatic,2730000,20.7,800,4,23300,Blue,Third,West Bengal,Not Insured,Chennai,6,2,Coupe
104,Tata Motors,Tiago,2019,Diesel,Automatic,1930000,10.5,2000,6,11400,White,Fourth & Above,Gujarat,Insured,Surat,3,0,Convertible
105,Mahindra,Thar,2021,Petrol,Manual,2390000,21.7,2000,4,12400,Silver,Second,Gujarat,Insured,Sanand,0,3,Hatchback
106,Tata Motors,,2015,Petrol,Manual,2060000,28.8,1800,6,10500,Grey,Third,Maharashtra,Insured,Pune,0,2,Hatchback
107,Toyota,Urban Cruiser,2018,Electric,Automatic,3150000,11.8,1500,6,17300,Grey,First,Gujarat,Not Insured,Surat,9,0,Hatchback
108,Skoda,Kushaq,2018,Electric,Automatic,2960000,16,2000,5,21700,Black,Third,Maharashtra,Insured,Chennai,3,1,Coupe
109,Tata Motors,Nexon,2020,Diesel,Automatic,2240000,25.1,1000,5,13600,Green,Third,Karnataka,Insured,Pune,5,5,SUV
110,Kia,Carens,2022,,Manual,1370000,23.5,2500,7,5100,Grey,First,Tamil Nadu,Insured,Sanand,8,2,Sedan
111,Honda,Amaze,2024,Diesel,Manual,2950000,18.1,800,6,6700,Black,Second,Telangana,Not Insured,Surat,2,0,SUV
112,Honda,Amaze,2018,Diesel,Manual,2130000,17.8,800,5,19900,White,Fourth & Above,Maharashtra,Not Insured,Manesar,0,1,SUV
113,Maruti Suzuki,Baleno,2018,Electric,Manual,1330000,24.4,1200,7,10100,Blue,Fourth & Above,Maharashtra,Not Insured,Gurgaon,1,0,Convertible
114,Maruti Suzuki,Ertiga,2020,Petrol,Automatic,3020000,20.5,1500,4,5100,Blue,Fourth & Above,Gujarat,Not Insured,Sanand,6,0,Hatchback
115,Maruti Suzuki,Baleno,2023,Petrol,Manual,990000,27.4,800,4,16700,Blue,First,Maharashtra,Insured,Chennai,3,3,Sedan
116,Maruti Suzuki,Baleno,2023,CNG,Manual,3240000,25.6,1000,7,13600,Grey,Third,West Bengal,Not Insured,Manesar,0,4,Sedan
117,Hyundai,Venue,2023,Petrol,Manual,3430000,29.4,1000,4,23700,White,Second,Delhi,Insured,Surat,1,5,Convertible
118,Honda,Amaze,2018,Electric,Manual,1280000,12,1000,7,20300,Grey,Third,Delhi,Not Insured,Pune,5,4,Hatchback
119,Honda,Jazz,2019,CNG,Automatic,1220000,11.1,1000,5,12600,Green,Fourth & Above,Karnataka,Insured,Manesar,9,3,Hatchback
120,Toyota,Innova,2017,Electric,Automatic,1720000,22,1800,4,20900,Grey,Third,Maharashtra,Not Insured,Manesar,7,3,Sedan
121,Kia,Sonet,2018,Diesel,Automatic,2640000,25.6,1500,6,5900,White,First,West Bengal,Not Insured,Chennai,10,5,Coupe
122,Honda,Jazz,2016,CNG,Automatic,1800000,27.7,2000,6,17400,White,First,Gujarat,Not Insured,Gurgaon,10,2,Hatchback
123,Honda,WR-V,2023,Electric,Automatic,3470000,13,800,7,10200,Green,Second,Gujarat,Not Insured,Manesar,2,4,Convertible
124,Toyota,Innova,2021,Diesel,Manual,1730000,22.2,1200,5,21500,White,Second,Telangana,Insured,Manesar,2,5,SUV
125,Skoda,Slavia,2023,Electric,Manual,2660000,16.9,2000,4,18400,White,Fourth & Above,Tamil Nadu,Not Insured,Gurgaon,4,3,Hatchback
126,Toyota,Urban Cruiser,2021,CNG,Automatic,2960000,16.7,2000,5,8300,Blue,Second,Karnataka,Not Insured,Gurgaon,2,2,Hatchback
127,Renault,Lodgy,2023,Petrol,Automatic,1460000,28.7,2000,6,23200,Green,Third,West Bengal,Not Insured,Pune,2,2,Sedan
128,Honda,City,2017,Electric,Manual,3360000,26,1500,5,8000,Red,First,West Bengal,Insured,Surat,8,5,Coupe
129,Skoda,Kushaq,2018,Diesel,Automatic,2890000,22,1800,5,22900,Red,First,Telangana,Not Insured,Pune,4,4,Convertible
130,Renault,Kiger,2015,Petrol,Manual,1490000,19.2,1200,7,16500,White,First,Telangana,Not Insured,Gurgaon,8,2,Sedan
131,Kia,EV6,2023,Diesel,Automatic,1420000,29.6,1500,6,18400,Red,Second,Gujarat,Insured,Sanand,3,0,Convertible
132,Renault,Kwid,2019,CNG,Automatic,1040000,12.2,1200,7,9500,Red,First,Tamil Nadu,Insured,Gurgaon,4,4,Convertible
133,Mahindra,Scorpio,2019,Diesel,Manual,1300000,27.8,2000,4,23200,White,First,Gujarat,Insured,Pune,10,2,Sedan
134,Maruti Suzuki,Dzire,2024,CNG,Manual,3370000,25.8,1200,7,11500,Red,First,Tamil Nadu,Not Insured,Chennai,9,4,SUV
135,Skoda,Rapid,2023,Diesel,Automatic,2040000,27,2000,7,13600,Grey,Fourth & Above,Delhi,Insured,Chennai,2,0,Hatchback
136,Honda,Civic,2019,Petrol,Manual,2190000,17.4,800,7,10200,Black,Fourth & Above,West Bengal,Not Insured,Surat,7,2,Hatchback
137,Tata Motors,Harrier,2021,Petrol,Automatic,2520000,25.7,2500,4,19800,Green,Second,Telangana,Insured,Manesar,6,2,Sedan
138,Kia,Carnival,2024,Diesel,Manual,1820000,23.9,2000,5,20800,Black,First,Delhi,Not Insured,Chennai,6,0,Hatchback
139,Mahindra,XUV700,2017,Diesel,Automatic,480000,17.5,2500,6,24900,White,Second,Gujarat,Insured,Pune,8,2,Coupe
140,Hyundai,Verna,2021,Electric,Manual,2480000,20.8,800,5,5500,Blue,First,Karnataka,Insured,Chennai,0,4,Convertible
141,Skoda,Kushaq,2024,CNG,Automatic,2490000,27.8,1500,7,7500,Green,First,Maharashtra,Insured,Sanand,9,3,Coupe
142,Maruti Suzuki,Ertiga,2015,CNG,Automatic,2860000,28,1500,5,16700,White,First,Karnataka,Not Insured,Gurgaon,10,1,Convertible
143,Honda,City,2018,Electric,Automatic,3370000,14.4,1200,6,15300,Blue,Second,Karnataka,Insured,Gurgaon,8,1,Coupe
144,Kia,Carens,2022,CNG,Automatic,2010000,22.7,2000,6,16900,Black,Second,Maharashtra,Not Insured,Pune,4,3,SUV
145,Honda,City,2018,CNG,Manual,1610000,17.7,1000,6,12300,White,First,West Bengal,Insured,Manesar,6,3,Convertible
146,Skoda,Superb,2024,Electric,Manual,2440000,17.7,1500,6,6400,Green,Third,Delhi,Insured,Gurgaon,10,4,Convertible
147,Honda,Civic,2022,Diesel,Automatic,2700000,18.1,1800,5,22900,Green,Second,Delhi,Insured,Chennai,0,2,Sedan
148,Toyota,Glanza,2017,Electric,Manual,3190000,27.7,1800,4,21100,Silver,Fourth & Above,West Bengal,Not Insured,Sanand,1,5,Convertible
149,Renault,Duster,2023,Petrol,Manual,3440000,17.9,1200,7,6600,Grey,Second,Maharashtra,Not Insured,Manesar,10,3,SUV
150,Volkswagen,Vento,2018,Electric,Manual,1430000,24.6,1500,4,8000,Red,First,Tamil Nadu,Not Insured,Manesar,8,1,Coupe
151,Volkswagen,Polo,2023,CNG,Manual,3310000,24.2,2000,4,23300,Blue,Third,Karnataka,Insured,Manesar,0,3,Hatchback
152,Mahindra,XUV700,2024,Petrol,Automatic,2120000,24.9,1800,7,23500,Silver,First,Gujarat,Not Insured,Gurgaon,4,1,Hatchback
153,Volkswagen,Polo,2016,Diesel,Automatic,3120000,19.5,1000,7,9400,Red,Fourth & Above,Delhi,Not Insured,Surat,0,4,Convertible
154,Honda,Civic,2022,Electric,Automatic,1140000,29.9,800,5,11600,Red,Second,West Bengal,Insured,Manesar,3,3,Coupe
155,Renault,Lodgy,2023,Diesel,Automatic,1410000,19.1,2000,6,8200,White,Second,Gujarat,Insured,Pune,3,2,Convertible
156,Hyundai,i20,2023,Electric,Manual,2800000,23.4,800,5,16600,Red,First,Telangana,Not Insured,Chennai,4,0,SUV
157,Skoda,Superb,2023,Electric,Automatic,3300000,10.6,2500,4,9600,Grey,First,Maharashtra,Not Insured,Surat,8,4,Coupe
158,Volkswagen,Taigun,2016,Electric,Manual,1330000,10.9,1800,7,22900,Green,Fourth & Above,Gujarat,Insured,Sanand,0,0,SUV
159,Kia,Sonet,2015,Petrol,Automatic,1750000,23.3,1200,4,13100,Silver,Third,Gujarat,Not Insured,Chennai,1,2,SUV
160,Kia,Seltos,2019,CNG,Automatic,1980000,18.8,2500,4,10400,Red,Fourth & Above,Karnataka,,Pune,5,5,Convertible
161,Mahindra,Bolero,2023,Petrol,Manual,3400000,29.7,1200,5,15800,White,Third,Maharashtra,Insured,Pune,3,1,Sedan
162,Kia,Seltos,2023,CNG,Manual,2860000,26.7,1000,4,9600,Grey,Second,Gujarat,Not Insured,Surat,7,0,Coupe
163,Skoda,Kushaq,2024,Electric,Automatic,2250000,21.4,1800,6,23800,Black,Third,Delhi,Not Insured,Chennai,3,2,Sedan
164,Honda,Amaze,2023,Diesel,Automatic,590000,28,1500,4,13000,Green,Third,,Insured,Gurgaon,5,1,Convertible
165,Volkswagen,Vento,2019,CNG,Manual,2350000,21.7,1500,4,16300,Green,Second,Delhi,Not Insured,Pune,8,5,SUV
166,Mahindra,XUV700,2016,Petrol,Automatic,3460000,10.9,1800,6,12800,Silver,Second,West Bengal,Insured,Manesar,6,4,Hatchback
167,Renault,Kiger,2015,Petrol,Manual,2270000,16.9,800,4,12200,Green,Second,West Bengal,Not Insured,Sanand,6,2,Coupe
168,Renault,Kwid,2024,Petrol,Manual,1460000,18.4,1200,6,17100,Red,Fourth & Above,Telangana,Insured,Sanand,7,5,Coupe
169,Toyota,Glanza,2015,Diesel,Manual,970000,15.9,2500,7,21400,White,Second,Tamil Nadu,Not Insured,Pune,1,2,Hatchback
170,Renault,Kiger,2017,Electric,Automatic,3390000,24.5,800,5,23000,Green,First,West Bengal,Not Insured,Manesar,5,0,Convertible
171,Mahindra,XUV300,2021,Diesel,Automatic,430000,22.4,1800,4,18100,Green,Second,Gujarat,Insured,Chennai,5,5,Convertible
172,Renault,Kwid,2018,CNG,Manual,2020000,10.4,1000,4,11600,Black,Second,Maharashtra,Not Insured,Sanand,4,5,Convertible
173,Mahindra,Scorpio,2015,Electric,Manual,1920000,26,1500,7,5500,Black,Second,West Bengal,Insured,Manesar,4,2,SUV
174,Mahindra,Scorpio,2016,Electric,Manual,2640000,16.3,2500,5,24600,Blue,Third,Delhi,Not Insured,Manesar,6,3,Coupe
175,Maruti Suzuki,Ertiga,2016,CNG,,3100000,19.5,1200,5,15300,Grey,Fourth & Above,Gujarat,Not Insured,Gurgaon,0,1,Sedan
176,Hyundai,i10,2019,CNG,Manual,1540000,12.1,1500,7,11900,Red,Second,West Bengal,Not Insured,Pune,5,0,Coupe
177,Skoda,Superb,2015,CNG,Manual,2390000,22.7,1000,6,16100,Green,Fourth & Above,Karnataka,Not Insured,Manesar,3,3,Sedan
178,Volkswagen,Vento,2022,Petrol,Automatic,1030000,11.1,2500,7,16700,Green,First,Delhi,Insured,Chennai,9,3,Convertible
179,Mahindra,Bolero,2016,CNG,Manual,550000,10.4,1000,7,24200,White,First,Telangana,Insured,Sanand,2,2,Hatchback
180,Volkswagen,Vento,2022,Petrol,Manual,2270000,24.3,2500,6,24700,Blue,Second,Telangana,Not Insured,Gurgaon,6,5,SUV
181,Toyota,Urban Cruiser,2019,Petrol,Manual,590000,16.3,2500,6,24000,Grey,First,Telangana,Insured,Chennai,0,1,Convertible
182,Maruti Suzuki,Baleno,2021,Electric,Automatic,980000,27.8,1800,7,16900,Blue,Fourth & Above,Delhi,Insured,Sanand,9,2,Convertible
183,Kia,Carens,2021,Electric,Automatic,500000,29.6,1800,6,12800,Silver,Third,Telangana,Not Insured,Pune,6,4,Convertible
184,Hyundai,Verna,2022,Electric,Automatic,2040000,28.2,1500,7,18900,Grey,Second,Tamil Nadu,Insured,Chennai,7,1,Sedan
185,Toyota,Innova,2015,Electric,Manual,1540000,25.9,1200,4,24600,Green,First,Karnataka,Insured,Sanand,4,4,Sedan
186,Tata Motors,Tiago,2016,Electric,Manual,1840000,12.6,800,7,24600,Green,Fourth & Above,Tamil Nadu,Not Insured,Gurgaon,6,2,Hatchback
187,Honda,Amaze,2020,Diesel,Manual,3150000,22,1000,4,22600,Grey,Fourth & Above,West Bengal,Not Insured,Sanand,10,0,Sedan
188,Kia,Seltos,2015,Petrol,Manual,1290000,23.9,1000,7,17000,Green,First,Karnataka,Not Insured,Manesar,2,3,Coupe
189,Volkswagen,Polo,2017,CNG,Automatic,2610000,14,1800,7,9800,Red,Fourth & Above,Delhi,Not Insured,Gurgaon,7,5,Sedan
190,Kia,EV6,2019,Diesel,Automatic,2780000,23.6,1000,5,14100,Grey,Fourth & Above,Tamil Nadu,Insured,Chennai,2,3,Convertible
